pulled_at_utc,station_id,station_name,river,level_cm,level_measured_at,flow_cms,flow_measured_at,temp_c,temp_measured_at
2026-06-17 08:02:15,149220060,Lesko,San,171,2026-06-17 07:30:00,14.2,2026-06-17 07:30:00,,
2026-06-17 10:02:30,149200160,Krościenko,Dunajec,192,2026-06-17 09:20:00,30.8,2026-06-17 09:30:00,10.9,2026-06-16 06:00:00
2026-06-17 10:02:30,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-17 10:02:30,149200190,Gołkowice,Dunajec,163,2026-06-17 09:30:00,34,2026-06-17 09:30:00,,
2026-06-17 10:02:30,149220060,Lesko,San,171,2026-06-17 09:30:00,14.2,2026-06-17 09:30:00,,
2026-06-17 12:01:50,149200160,Krościenko,Dunajec,191,2026-06-17 11:20:00,29.8,2026-06-17 11:30:00,11.5,2026-06-17 06:00:00
2026-06-17 12:01:50,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-17 12:01:50,149200190,Gołkowice,Dunajec,163,2026-06-17 11:30:00,34,2026-06-17 11:30:00,,
2026-06-17 12:01:50,149220060,Lesko,San,171,2026-06-17 11:30:00,14.2,2026-06-17 11:30:00,,
2026-06-17 14:03:13,149200160,Krościenko,Dunajec,191,2026-06-17 13:20:00,29.8,2026-06-17 13:30:00,11.5,2026-06-17 06:00:00
2026-06-17 14:03:13,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-17 14:03:13,149200190,Gołkowice,Dunajec,162,2026-06-17 13:30:00,33,2026-06-17 13:30:00,,
2026-06-17 14:03:13,149220060,Lesko,San,171,2026-06-17 13:30:00,14.2,2026-06-17 13:30:00,,
2026-06-17 16:02:15,149200160,Krościenko,Dunajec,192,2026-06-17 15:20:00,29.8,2026-06-17 15:30:00,11.5,2026-06-17 06:00:00
2026-06-17 16:02:15,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-17 16:02:15,149200190,Gołkowice,Dunajec,164,2026-06-17 15:30:00,35,2026-06-17 15:30:00,,
2026-06-17 16:02:15,149220060,Lesko,San,172,2026-06-17 15:30:00,15.2,2026-06-17 15:30:00,,
2026-06-17 18:01:29,149200160,Krościenko,Dunajec,191,2026-06-17 17:20:00,29.8,2026-06-17 17:30:00,11.5,2026-06-17 06:00:00
2026-06-17 18:01:29,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-17 18:01:29,149200190,Gołkowice,Dunajec,163,2026-06-17 17:30:00,34,2026-06-17 17:30:00,,
2026-06-17 18:01:29,149220060,Lesko,San,172,2026-06-17 17:30:00,15.2,2026-06-17 17:30:00,,
2026-06-17 20:01:13,149200160,Krościenko,Dunajec,191,2026-06-17 19:20:00,29.8,2026-06-17 19:30:00,11.5,2026-06-17 06:00:00
2026-06-17 20:01:13,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-17 20:01:13,149200190,Gołkowice,Dunajec,164,2026-06-17 19:30:00,35,2026-06-17 19:30:00,,
2026-06-17 20:01:13,149220060,Lesko,San,172,2026-06-17 19:30:00,15.2,2026-06-17 19:30:00,,
2026-06-17 22:04:49,149200160,Krościenko,Dunajec,191,2026-06-17 21:20:00,29.8,2026-06-17 21:30:00,11.5,2026-06-17 06:00:00
2026-06-17 22:04:49,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-17 22:04:49,149200190,Gołkowice,Dunajec,164,2026-06-17 21:30:00,35,2026-06-17 21:30:00,,
2026-06-17 22:04:49,149220060,Lesko,San,172,2026-06-17 21:30:00,15.2,2026-06-17 21:30:00,,
2026-06-18 00:02:39,149200160,Krościenko,Dunajec,193,2026-06-17 23:20:00,32.9,2026-06-17 23:30:00,11.5,2026-06-17 06:00:00
2026-06-18 00:02:39,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-18 00:02:39,149200190,Gołkowice,Dunajec,163,2026-06-17 23:30:00,34,2026-06-17 23:30:00,,
2026-06-18 00:02:39,149220060,Lesko,San,172,2026-06-17 23:30:00,15.2,2026-06-17 23:30:00,,
2026-06-18 02:02:18,149200160,Krościenko,Dunajec,193,2026-06-18 01:20:00,32.9,2026-06-18 01:30:00,11.5,2026-06-17 06:00:00
2026-06-18 02:02:18,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-18 02:02:18,149200190,Gołkowice,Dunajec,163,2026-06-18 01:30:00,34,2026-06-18 01:30:00,,
2026-06-18 02:02:18,149220060,Lesko,San,172,2026-06-18 01:30:00,15.2,2026-06-18 01:30:00,,
2026-06-18 04:01:12,149200160,Krościenko,Dunajec,193,2026-06-18 03:20:00,31.9,2026-06-18 03:30:00,11.5,2026-06-17 06:00:00
2026-06-18 04:01:12,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-18 04:01:12,149200190,Gołkowice,Dunajec,163,2026-06-18 03:30:00,34,2026-06-18 03:30:00,,
2026-06-18 04:01:12,149220060,Lesko,San,172,2026-06-18 03:30:00,15.2,2026-06-18 03:30:00,,
2026-06-18 06:02:05,149200160,Krościenko,Dunajec,193,2026-06-18 05:20:00,31.9,2026-06-18 05:30:00,11.5,2026-06-17 06:00:00
2026-06-18 06:02:05,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-18 06:02:05,149200190,Gołkowice,Dunajec,164,2026-06-18 05:30:00,35,2026-06-18 05:30:00,,
2026-06-18 06:02:05,149220060,Lesko,San,172,2026-06-18 05:30:00,15.2,2026-06-18 05:30:00,,
2026-06-18 08:03:05,149200160,Krościenko,Dunajec,193,2026-06-18 07:20:00,31.9,2026-06-18 07:30:00,11.5,2026-06-17 06:00:00
2026-06-18 08:03:05,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-18 08:03:05,149200190,Gołkowice,Dunajec,161,2026-06-18 07:30:00,32,2026-06-18 07:30:00,,
